사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,구분,연도
6773866,2022032,4413111800,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 신부동(역말오거리 부근),4,8,0,5,3,0,127.15318482632,36.824698691392,"{""type"":""Polygon"",""coordinates"":[[[127.15408314,36.82469869],[127.15406588,36.82455841],[127.15401476,36.82442351],[127.15393175,36.82429919],[127.15382003,36.82419023],[127.1536839,36.8241008],[127.1535286,36.82403435],[127.15336008,36.82399343],[127.15318483,36.82397961],[127.15300957,36.82399343],[127.15284106,36.82403435],[127.15268575,36.8241008],[127.15254962,36.82419023],[127.1524379,36.82429919],[127.15235489,36.82442351],[127.15230377,36.82455841],[127.15228651,36.82469869],[127.15230377,36.82483898],[127.15235489,36.82497387],[127.1524379,36.82509819],[127.15254962,36.82520715],[127.15268575,36.82529658],[127.15284106,36.82536303],[127.15300957,36.82540395],[127.15318483,36.82541777],[127.15336008,36.82540395],[127.1535286,36.82536303],[127.1536839,36.82529658],[127.15382003,36.82520715],[127.15393175,36.82509819],[127.15401476,36.82497387],[127.15406588,36.82483898],[127.15408314,36.82469869]]]}",이륜차 사고다발지역,2022
6789448,2022051,4413310100,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 와촌동(제2봉명교 부근),4,6,0,4,2,0,127.143401171928,36.806595359289,"{""type"":""Polygon"",""coordinates"":[[[127.14429949,36.80659536],[127.14428223,36.80645504],[127.14423111,36.80632011],[127.14414809,36.80619577],[127.14403638,36.80608677],[127.14390025,36.80599732],[127.14374494,36.80593086],[127.14357642,36.80588993],[127.14340117,36.80587611],[127.14322592,36.80588993],[127.1430574,36.80593086],[127.14290209,36.80599732],[127.14276597,36.80608677],[127.14265425,36.80619577],[127.14257124,36.80632011],[127.14252012,36.80645504],[127.14250286,36.80659536],[127.14252012,36.80673568],[127.14257124,36.8068706],[127.14265425,36.80699495],[127.14276597,36.80710394],[127.14290209,36.80719339],[127.1430574,36.80725985],[127.14322592,36.80730078],[127.14340117,36.8073146],[127.14357642,36.80730078],[127.14374494,36.80725985],[127.14390025,36.80719339],[127.14403638,36.80710394],[127.14414809,36.80699495],[127.14423111,36.8068706],[127.14428223,36.80673568],[127.14429949,36.80659536]]]}",음주운전 사고다발지역,2022
6789446,2022051,4413310200,44133002,충청남도 천안시 서북구2,충청남도 천안시 서북구 성정동(주공6단지아파트303동 부근),4,6,0,4,2,0,127.136601634459,36.822079992399,"{""type"":""Polygon"",""coordinates"":[[[127.13749995,36.82207999],[127.13748269,36.8219397],[127.13743157,36.8218048],[127.13734856,36.82168048],[127.13723684,36.82157151],[127.13710071,36.82148208],[127.1369454,36.82141563],[127.13677689,36.8213747],[127.13660163,36.82136089],[127.13642638,36.8213747],[127.13625786,36.82141563],[127.13610256,36.82148208],[127.13596643,36.82157151],[127.13585471,36.82168048],[127.1357717,36.8218048],[127.13572058,36.8219397],[127.13570332,36.82207999],[127.13572058,36.82222028],[127.1357717,36.82235518],[127.13585471,36.8224795],[127.13596643,36.82258847],[127.13610256,36.8226779],[127.13625786,36.82274435],[127.13642638,36.82278527],[127.13660163,36.82279909],[127.13677689,36.82278527],[127.1369454,36.82274435],[127.13710071,36.8226779],[127.13723684,36.82258847],[127.13734856,36.8224795],[127.13743157,36.82235518],[127.13748269,36.82222028],[127.13749995,36.82207999]]]}",음주운전 사고다발지역,2022
6789550,2022051,4413310200,44133003,충청남도 천안시 서북구3,충청남도 천안시 서북구 성정동(구상골사거리 부근),3,4,1,3,0,0,127.135720000279,36.818832020682,"{""type"":""Polygon"",""coordinates"":[[[127.13661832,36.81883202],[127.13660105,36.81869172],[127.13654994,36.81855682],[127.13646692,36.81843249],[127.13635521,36.81832352],[127.13621908,36.81823408],[127.13606377,36.81816763],[127.13589525,36.8181267],[127.13572,36.81811288],[127.13554475,36.8181267],[127.13537623,36.81816763],[127.13522092,36.81823408],[127.1350848,36.81832352],[127.13497308,36.81843249],[127.13489007,36.81855682],[127.13483895,36.81869172],[127.13482168,36.81883202],[127.13483895,36.81897232],[127.13489007,36.81910722],[127.13497308,36.81923155],[127.1350848,36.81934052],[127.13522092,36.81942996],[127.13537623,36.81949641],[127.13554475,36.81953733],[127.13572,36.81955115],[127.13589525,36.81953733],[127.13606377,36.81949641],[127.13621908,36.81942996],[127.13635521,36.81934052],[127.13646692,36.81923155],[127.13654994,36.81910722],[127.13660105,36.81897232],[127.13661832,36.81883202]]]}",음주운전 사고다발지역,2022
6792411,2022051,4413310800,44133004,충청남도 천안시 서북구4,충청남도 천안시 서북구 불당동(쌍용3동사무소사거리 부근),3,5,0,4,1,0,127.113804799053,36.806683225751,"{""type"":""Polygon"",""coordinates"":[[[127.11470311,36.80668323],[127.11468585,36.80654291],[127.11463473,36.80640798],[127.11455172,36.80628363],[127.11444,36.80617464],[127.11430388,36.80608519],[127.11414857,36.80601873],[127.11398005,36.8059778],[127.1138048,36.80596398],[127.11362955,36.8059778],[127.11346103,36.80601873],[127.11330572,36.80608519],[127.11316959,36.80617464],[127.11305788,36.80628363],[127.11297486,36.80640798],[127.11292374,36.80654291],[127.11290648,36.80668323],[127.11292374,36.80682354],[127.11297486,36.80695847],[127.11305788,36.80708282],[127.11316959,36.80719181],[127.11330572,36.80728125],[127.11346103,36.80734772],[127.11362955,36.80738865],[127.1138048,36.80740247],[127.11398005,36.80738865],[127.11414857,36.80734772],[127.11430388,36.80728125],[127.11444,36.80719181],[127.11455172,36.80708282],[127.11463473,36.80695847],[127.11468585,36.80682354],[127.11470311,36.80668323]]]}",음주운전 사고다발지역,2022
6789542,2022051,4413310400,44133005,충청남도 천안시 서북구5,충청남도 천안시 서북구 두정동(서부대로사거리 부근),3,5,0,3,2,0,127.132767786805,36.826575536033,"{""type"":""Polygon"",""coordinates"":[[[127.1336661,36.82657554],[127.13364884,36.82643525],[127.13359772,36.82630036],[127.13351471,36.82617605],[127.13340299,36.82606708],[127.13326686,36.82597766],[127.13311156,36.82591121],[127.13294304,36.82587029],[127.13276779,36.82585647],[127.13259253,36.82587029],[127.13242402,36.82591121],[127.13226871,36.82597766],[127.13213258,36.82606708],[127.13202086,36.82617605],[127.13193785,36.82630036],[127.13188673,36.82643525],[127.13186947,36.82657554],[127.13188673,36.82671582],[127.13193785,36.82685071],[127.13202086,36.82697502],[127.13213258,36.82708399],[127.13226871,36.82717341],[127.13242402,36.82723986],[127.13259253,36.82728078],[127.13276779,36.82729459],[127.13294304,36.82728078],[127.13311156,36.82723986],[127.13326686,36.82717341],[127.13340299,36.82708399],[127.13351471,36.82697502],[127.13359772,36.82685071],[127.13364884,36.82671582],[127.1336661,36.82657554]]]}",음주운전 사고다발지역,2022
6789495,2022051,4413310300,44133006,충청남도 천안시 서북구6,충청남도 천안시 서북구 백석동(운동장사거리 부근),3,4,0,3,1,0,127.111704979202,36.822902764152,"{""type"":""Polygon"",""coordinates"":[[[127.11260329,36.82290276],[127.11258603,36.82276248],[127.11253491,36.82262758],[127.1124519,36.82250326],[127.11234018,36.82239429],[127.11220406,36.82230486],[127.11204875,36.8222384],[127.11188023,36.82219748],[127.11170498,36.82218367],[127.11152973,36.82219748],[127.11136121,36.8222384],[127.1112059,36.82230486],[127.11106977,36.82239429],[127.11095806,36.82250326],[127.11087504,36.82262758],[127.11082392,36.82276248],[127.11080666,36.82290276],[127.11082392,36.82304305],[127.11087504,36.82317795],[127.11095806,36.82330227],[127.11106977,36.82341124],[127.1112059,36.82350067],[127.11136121,36.82356712],[127.11152973,36.82360804],[127.11170498,36.82362185],[127.11188023,36.82360804],[127.11204875,36.82356712],[127.11220406,36.82350067],[127.11234018,36.82341124],[127.1124519,36.82330227],[127.11253491,36.82317795],[127.11258603,36.82304305],[127.11260329,36.82290276]]]}",음주운전 사고다발지역,2022
6792385,2022051,4413310400,44133007,충청남도 천안시 서북구7,충청남도 천안시 서북구 두정동(대전지방고용노동청천 부근),3,4,0,3,1,0,127.133632187277,36.833429326004,"{""type"":""Polygon"",""coordinates"":[[[127.1345305,36.83342933],[127.13451324,36.83328906],[127.13446212,36.83315418],[127.13437911,36.83302987],[127.13426739,36.83292092],[127.13413126,36.8328315],[127.13397596,36.83276506],[127.13380744,36.83272414],[127.13363219,36.83271033],[127.13345693,36.83272414],[127.13328842,36.83276506],[127.13313311,36.8328315],[127.13299698,36.83292092],[127.13288527,36.83302987],[127.13280225,36.83315418],[127.13275113,36.83328906],[127.13273387,36.83342933],[127.13275113,36.83356959],[127.13280225,36.83370447],[127.13288527,36.83382878],[127.13299698,36.83393773],[127.13313311,36.83402715],[127.13328842,36.83409359],[127.13345693,36.8341345],[127.13363219,36.83414832],[127.13380744,36.8341345],[127.13397596,36.83409359],[127.13413126,36.83402715],[127.13426739,36.83393773],[127.13437911,36.83382878],[127.13446212,36.83370447],[127.13451324,36.83356959],[127.1345305,36.83342933]]]}",음주운전 사고다발지역,2022
6792336,2022051,4413310700,44133008,충청남도 천안시 서북구8,충청남도 천안시 서북구 쌍용동(쌍용지하도앞 부근),3,3,0,3,0,0,127.131327625071,36.799527097199,"{""type"":""Polygon"",""coordinates"":[[[127.13222594,36.7995271],[127.13220868,36.79938677],[127.13215756,36.79925183],[127.13207455,36.79912747],[127.13196283,36.79901846],[127.1318267,36.79892901],[127.1316714,36.79886254],[127.13150288,36.7988216],[127.13132763,36.79880778],[127.13115237,36.7988216],[127.13098385,36.79886254],[127.13082855,36.79892901],[127.13069242,36.79901846],[127.1305807,36.79912747],[127.13049769,36.79925183],[127.13044657,36.79938677],[127.13042931,36.7995271],[127.13044657,36.79966743],[127.13049769,36.79980237],[127.1305807,36.79992673],[127.13069242,36.80003573],[127.13082855,36.80012518],[127.13098385,36.80019165],[127.13115237,36.80023259],[127.13132763,36.80024641],[127.13150288,36.80023259],[127.1316714,36.80019165],[127.1318267,36.80012518],[127.13196283,36.80003573],[127.13207455,36.79992673],[127.13215756,36.79980237],[127.13220868,36.79966743],[127.13222594,36.7995271]]]}",음주운전 사고다발지역,2022
6779349,2022040,4413310400,44133002,충청남도 천안시 서북구2,충청남도 천안시 서북구 두정동(대전지방고용노동청천 부근),7,8,0,7,1,0,127.133576803428,36.833284920963,"{""type"":""Polygon"",""coordinates"":[[[127.13447512,36.83328492],[127.13445786,36.83314465],[127.13440674,36.83300977],[127.13432373,36.83288547],[127.13421201,36.83277651],[127.13407588,36.83268709],[127.13392057,36.83262065],[127.13375206,36.83257974],[127.1335768,36.83256592],[127.13340155,36.83257974],[127.13323303,36.83262065],[127.13307773,36.83268709],[127.1329416,36.83277651],[127.13282988,36.83288547],[127.13274687,36.83300977],[127.13269575,36.83314465],[127.13267849,36.83328492],[127.13269575,36.83342519],[127.13274687,36.83356007],[127.13282988,36.83368437],[127.1329416,36.83379333],[127.13307773,36.83388274],[127.13323303,36.83394918],[127.13340155,36.8339901],[127.1335768,36.83400391],[127.13375206,36.8339901],[127.13392057,36.83394918],[127.13407588,36.83388274],[127.13421201,36.83379333],[127.13432373,36.83368437],[127.13440674,36.83356007],[127.13445786,36.83342519],[127.13447512,36.83328492]]]}",보행자 사고다발지역,2022
6779249,2022040,4413310400,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 두정동(프라지움1차 부근),7,12,3,9,0,0,127.138288513505,36.832938763814,"{""type"":""Polygon"",""coordinates"":[[[127.13918683,36.83293876],[127.13916957,36.83279849],[127.13911845,36.83266361],[127.13903544,36.83253931],[127.13892372,36.83243035],[127.13878759,36.83234094],[127.13863228,36.83227449],[127.13846377,36.83223358],[127.13828851,36.83221976],[127.13811326,36.83223358],[127.13794474,36.83227449],[127.13778944,36.83234094],[127.13765331,36.83243035],[127.13754159,36.83253931],[127.13745858,36.83266361],[127.13740746,36.83279849],[127.1373902,36.83293876],[127.13740746,36.83307903],[127.13745858,36.83321391],[127.13754159,36.83333822],[127.13765331,36.83344717],[127.13778944,36.83353659],[127.13794474,36.83360303],[127.13811326,36.83364394],[127.13828851,36.83365776],[127.13846377,36.83364394],[127.13863228,36.83360303],[127.13878759,36.83353659],[127.13892372,36.83344717],[127.13903544,36.83333822],[127.13911845,36.83321391],[127.13916957,36.83307903],[127.13918683,36.83293876]]]}",보행자 사고다발지역,2022
